rank,date,ticker,name,isin,market,trade_republic_status,previous_open,previous_close,previous_high,previous_low,body,body_pct,last_volume,avg_volume_20d,relative_volume,return_5d,return_10d,return_20d,atr_14,atr_pct,close_position,distance_to_20d_high_pct,gap_pct,score,classification,news_check,notes
1,2026-06-11,CFR.SW,Richemont,N/A,Switzerland,Disponible,168.45,174.95,175.7,168.05,6.5,3.86,497225,988022.85,0.5,6.32,5.71,13.27,5.42,3.1,0.9,0.43,N/A,58.89,Baja prioridad,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
2,2026-06-11,BESI.AS,BE Semiconductor Industries,N/A,Netherlands,Disponible,293.8,304.9,306.6,293.8,11.1,3.78,240086,392496.3,0.61,7.51,6.02,14.32,13.17,4.32,0.87,0.56,N/A,58.89,Baja prioridad,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
3,2026-06-11,MONC.MI,Moncler,N/A,Italy,Disponible,55.12,57.14,57.16,55.02,2.02,3.66,316187,916972.8,0.34,6.8,3.18,12.22,1.89,3.31,0.99,0.0,N/A,58.89,Baja prioridad,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
4,2026-06-11,NOVN.SW,Novartis,CH0012005267,Switzerland,Disponible,118.02,121.82,122.16,118.02,3.8,3.22,744672,2620888.0,0.28,5.18,3.03,5.13,2.4,1.97,0.92,0.28,N/A,55.56,Baja prioridad,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
5,2026-06-11,MC.PA,LVMH,FR0000121014,France,Disponible,485.75,501.2,508.6,484.0,15.45,3.18,335634,570073.55,0.59,5.76,4.25,8.8,15.16,3.02,0.7,1.48,N/A,55.56,Baja prioridad,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. gap no disponible.
6,2026-06-11,KER.PA,Kering,N/A,France,Disponible,252.2,259.8,261.05,249.75,7.6,3.01,122853,259456.55,0.47,4.32,3.53,6.32,9.59,3.69,0.89,0.58,N/A,53.33,Baja prioridad,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
7,2026-06-10,DOW,Dow,N/A,USA,Disponible,33.25,34.24,34.47,32.88,0.99,2.98,13012700,11154520.0,1.17,-3.28,-0.72,-13.16,1.23,3.58,0.86,17.32,1.2,53.0,Baja prioridad,Pendiente revisión manual,buen cuerpo alcista. cierre cerca de maximos.
8,2026-06-11,ACX.MC,Acerinox,N/A,Spain,Disponible,15.85,16.34,16.35,15.85,0.49,3.09,262886,768348.05,0.34,-0.73,1.55,11.16,0.4,2.45,0.98,0.98,N/A,48.89,Baja prioridad,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
9,2026-06-11,PUM.DE,Puma,N/A,Germany,Disponible,27.0,28.02,28.12,26.98,1.02,3.78,212649,728771.75,0.29,1.37,-6.6,8.9,1.29,4.59,0.91,8.17,N/A,47.78,Baja prioridad,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
10,2026-06-10,MDB,MongoDB,N/A,USA,Disponible,334.61,348.28,359.5,331.56,13.67,4.09,1501200,2995050.0,0.5,-5.44,18.28,12.81,29.54,8.48,0.6,18.3,-0.51,40.0,Descartar,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil.
