rank,date,ticker,name,isin,market,trade_republic_status,open,close,high,low,body,body_pct,volume
1,2026-06-18,ULVR.L,Unilever,GB00B10RZP78,United Kingdom,Disponible,3895.0,4347.5,4350.5,3895.0,452.5,11.62,528138
2,2026-06-18,BA.L,BAE Systems,,United Kingdom,Disponible,1680.0,1858.5,1868.0,1680.0,178.5,10.62,995580
3,2026-06-17,MRNA,Moderna,,USA,Disponible,56.21,61.8,62.3,54.51,5.59,9.94,12425400
4,2026-06-17,HOOD,Robinhood Markets,,USA,Disponible,95.935,105.2,110.728,95.76,9.265,9.66,70547100
5,2026-06-17,MOS,Mosaic,,USA,Disponible,21.69,22.51,22.76,21.6,0.82,3.78,9535400
6,2026-06-18,KER.PA,Kering,,France,Disponible,263.3,270.1,271.65,261.95,6.8,2.58,79319
7,2026-06-17,STX,Seagate Technology,,USA,Disponible,1044.25,1066.0699,1094.0,1043.9,21.8199,2.09,4576400
8,2026-06-18,BESI.AS,BE Semiconductor Industries,,Netherlands,Disponible,308.0,314.4,317.5,305.1,6.4,2.08,190153
9,2026-06-17,VRTX,Vertex Pharmaceuticals,,USA,Disponible,449.67,458.99,464.31,447.54,9.32,2.07,1524000
10,2026-06-17,RTX,RTX,US75513E1010,USA,Disponible,188.75,192.58,193.46,186.38,3.83,2.03,7528000
